run,category,count
semantic,finding,102
semantic,procedure,84
semantic,disorder,64
semantic,substance,19
semantic,situation,18
semantic,observable entity,18
semantic,body structure,16
semantic,regime/therapy,16
semantic,morphologic abnormality,8
semantic,qualifier value,7
semantic,organism,6
semantic,medicinal product,4
semantic,clinical drug,3
semantic,specimen,3
semantic,record artifact,2
semantic,basic dose form,1
semantic,event,1
syntactic,finding,64
syntactic,disorder,57
syntactic,procedure,53
syntactic,body structure,14
syntactic,substance,12
syntactic,situation,9
syntactic,regime/therapy,8
syntactic,qualifier value,6
syntactic,clinical drug,6
syntactic,organism,5
syntactic,observable entity,4
syntactic,morphologic abnormality,4
syntactic,specimen,3
syntactic,record artifact,2
syntactic,medicinal product,2
syntactic,state of matter,1
syntactic,attribute,1
syntactic,assessment scale,1
syntactic,medicinal product form,1
